PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,0.4552321080199316,0.09169505455983476,0.34145675724365343,0.11306962619172978,-0.06770012232107536
0BVvxJ6a,0.31760345657305095,0.06168826698557548,0.26515531996064934,-0.08743817221807815,-0.12815313616515778
0KbdgApg,0.5429845373994308,0.1126998129476067,0.32467259273703997,-0.006979453859503493,-0.036251314663183765
0MnuuduB,0.5023077576617581,0.14094149703768288,0.0797798167283485,0.4686135752046948,-0.594601825077979
0PcIsF9z,-0.7247149186308565,-0.09505308018673708,-0.6282963637666412,-0.14143020818324714,0.27509890761005695
0ShTFLYJ,0.228466477880159,-0.06610534903435505,0.6156656037062374,-0.4895088907474649,0.42020366239656814
0XZh9jka,-0.5662790162606163,0.0029102641578883596,-0.9231473833127848,1.158377303964322,-0.49873958492067794
0Y7Wegri,0.39848990855763594,0.06168826698557548,0.3952599612854026,-0.14610635372287817,0.1887925709915803
0dTqplIM,0.04228111460488804,-0.05322008462449057,0.20047735415062978,-0.012080600414176246,-0.033512678022251
0lNiZicC,0.22222666116764928,-0.06416373378459662,0.6080918790487471,-0.3452401056261455,0.10720460143950161
0rGeJ0QN,-0.48675216720933145,-0.09611214133247478,-0.3156640391708088,-0.21173909457404239,0.433267528680667
0sXI9ytQ,0.4051933180913284,0.1010501120013344,0.32368268562868124,-0.051195841354831684,0.24014529788175065
0ukt4aP6,0.5103383637731304,0.03591773108005588,0.5356389368105645,0.3829351274579199,-0.14829041073235705
1AGspb8f,-0.5937524796563435,-0.09593562956689825,-0.599965752682381,0.055766654148687755,-0.03981383167211083
1Csy0gvE,-0.16260932276784468,-0.05816237626974475,0.162201839734549,-0.29513920016467254,0.40390583095000976
1Ic2hly1,-0.012269107131754109,0.08251650888391088,-0.38983493423659993,0.14051664154314214,0.07172077343037264
1PPbaTwt,0.3855820241732196,0.08322255594621625,0.30953416204980844,0.2550275314717937,-0.2023596370680265
1SO5VJNy,-0.4119823926119567,-0.0890517179480248,-0.07177286996077586,-0.3672255988085878,0.5241268983094007
1arHxK3Y,0.9827408523788107,0.1605341707485656,0.6656755558590431,0.12453690610367474,-0.18715084364380852
1fCW4Bba,0.10102976224449667,0.013677405685795918,0.04225764766313739,0.008853823298061059,0.0522385202275919
